OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Nu,Gamma
6jtbpdh,tap,1401,599,18536,14,0.049964311,0,0,0.068447412,0,0,0.819119959,646.5714286,0.05,0.113
uui53he,acc,460,194,4285,14,0.206521739,0.013043478,6,0.608247423,0.195876289,38,0.035163747,2.5,0.05,0.113
uui53he,gyr,458,194,4229,14,0.150655022,0.002183406,1,0.304123711,0.036082474,7,0.552128604,13.57142857,0.05,0.113
uui53he,swp,0,0,0,0,,,,,,,,,0.05,0.113
uui53he,tap,1401,599,18536,14,0.030692363,0,0,0.033388982,0,0,0.909925002,1109,0.05,0.113
677l8bq,acc,395,163,4381,14,0.192405063,0.005063291,2,0.901840491,0.404907975,66,0.026648572,2,0.05,0.113
677l8bq,gyr,395,164,4322,14,0.164556962,0,0,0.390243902,0.06097561,10,0.795243456,128.8571429,0.05,0.113
677l8bq,swp,0,0,0,0,,,,,,,,,0.05,0.113
677l8bq,tap,1401,599,18536,14,0.049964311,0,0,0.09015025,0.001669449,1,0.883537194,1097.285714,0.05,0.113
ipuyiii,acc,216,92,4631,14,0.398148148,0.050925926,11,0.77173913,0.293478261,27,0.002228912,2.142857143,0.05,0.113
ipuyiii,gyr,215,92,4574,14,0.23255814,0,0,0.608695652,0.184782609,17,0.220467851,3.928571429,0.05,0.113
ipuyiii,swp,0,0,0,0,,,,,,,,,0.05,0.113
ipuyiii,tap,1094,467,18975,14,0.038391225,0,0,0.04496788,0,0,0.955171625,1355.357143,0.05,0.113
3zd4fdk,acc,152,59,4728,14,0.335526316,0.019736842,3,0.847457627,0.355932203,21,0,2,0.05,0.113
3zd4fdk,gyr,148,64,4669,14,0.222972973,0.006756757,1,0.734375,0.25,16,0.135764364,2.428571429,0.05,0.113
3zd4fdk,swp,0,0,0,0,,,,,,,,,0.05,0.113
3zd4fdk,tap,636,271,19629,14,0.072327044,0,0,0.095940959,0,0,0.905630812,1247.142857,0.05,0.113
v2x6zpt,acc,90,38,4811,14,0.3,0,0,0.842105263,0.368421053,14,0.004361913,2,0.05,0.113
v2x6zpt,gyr,89,38,4754,14,0.247191011,0.011235955,1,0.789473684,0.289473684,11,0.079446465,3,0.05,0.113
v2x6zpt,swp,0,0,0,0,,,,,,,,,0.05,0.113
v2x6zpt,tap,494,211,19831,14,0.048582996,0,0,0.08056872,0,0,0.857590005,801.2142857,0.05,0.113
7nv0i9p,acc,185,78,4676,14,0.383783784,0.027027027,5,1,0.487179487,38,0,2,0.05,0.1505
7nv0i9p,gyr,184,78,4619,14,0.22826087,0.010869565,2,0.717948718,0.243589744,19,0.133391959,3.357142857,0.05,0.1505
7nv0i9p,swp,0,0,0,0,,,,,,,,,0.05,0.1505
7nv0i9p,tap,915,391,19230,14,0.050273224,0,0,0.071611253,0,0,0.87791959,842.7142857,0.05,0.1505
