OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Window,Overlap
vk43uke,acc,712,295,8970,14,0.5,0.04353932584269663,31,0.0,0.0,0,0.11971692188519614,3.9285714285714284,25,0.2
vk43uke,gyr,712,296,8987,14,0.49859550561797755,0.028089887640449437,20,0.3783783783783784,0.010135135135135136,3,0.296497089685168,16.071428571428573,25,0.2
vo441ru,acc,850,150,8977,14,0.4988235294117647,0.05764705882352941,49,0.56,0.06,9,0.00280776435374959,2.0,25,0.2
vo441ru,gyr,712,298,8985,14,0.49859550561797755,0.054775280898876406,39,0.4463087248322148,0.050335570469798654,15,0.0,2.0,25,0.2
68n9ll,acc,385,153,9439,14,0.4987012987012987,0.07012987012987013,27,0.24836601307189543,0.032679738562091505,5,0.22010728045090072,7.857142857142857,25,0.2
68n9ll,gyr,385,154,9456,14,0.5012987012987012,0.03896103896103896,15,0.3181818181818182,0.0,0,0.5281487218873478,81.92857142857143,25,0.2
7stgp0r,acc,440,181,9356,14,0.5,0.056818181818181816,25,0.3259668508287293,0.016574585635359115,3,0.44159143177269183,52.285714285714285,25,0.2
7stgp0r,gyr,441,183,9371,14,0.4988662131519274,0.05442176870748299,24,0.40437158469945356,0.01639344262295082,3,0.3816432209476458,23.928571428571427,25,0.2
z8c5rtb,acc,653,279,9045,14,0.4992343032159265,0.039816232771822356,26,0.32616487455197135,0.0,0,0.5126109360984723,66.85714285714286,25,0.2
z8c5rtb,gyr,653,276,9066,14,0.4992343032159265,0.04900459418070444,32,0.39492753623188404,0.04710144927536232,13,0.4078834464907218,37.5,25,0.2
z8taipm,acc,358,147,12275,14,0.505586592178771,0.04748603351955307,17,0.4013605442176871,0.027210884353741496,4,0.11645551868164099,5.357142857142857,25,0.4
z8taipm,gyr,357,147,12254,14,0.49859943977591037,0.04201680672268908,15,0.4489795918367347,0.027210884353741496,4,0.4813041554754117,50.0,25,0.4
3zd4fdk,acc,370,146,12264,14,0.5,0.0891891891891892,33,0.3013698630136986,0.02054794520547945,3,0.012747713335338322,2.0,25,0.4
3zd4fdk,gyr,370,145,12243,14,0.5054054054054054,0.04054054054054054,15,0.47586206896551725,0.041379310344827586,6,0.2754956232096607,14.785714285714286,25,0.4
ipuyiii,acc,257,105,12418,14,0.490272373540856,0.03501945525291829,9,0.3142857142857143,0.009523809523809525,1,0.15545028961347193,17.142857142857142,25,0.4
ipuyiii,gyr,257,105,12396,14,0.49416342412451364,0.03501945525291829,9,0.5619047619047619,0.047619047619047616,5,0.4045125150833445,32.42857142857143,25,0.4
ha3ev43,acc,220,80,12480,14,0.5045454545454545,0.045454545454545456,10,0.475,0.0125,1,0.09990464217639014,2.2857142857142856,25,0.4
ha3ev43,gyr,211,90,12457,14,0.5023696682464455,0.04265402843601896,9,0.3,0.011111111111111112,1,0.12123311134514636,2.5714285714285716,25,0.4
b0602fr,acc,920,381,11479,14,0.5010869565217392,0.05326086956521739,49,0.6535433070866141,0.10498687664041995,40,0.22200937941701598,15.714285714285714,25,0.4
b0602fr,gyr,915,389,11454,14,0.5005464480874317,0.05136612021857923,47,0.5989717223650386,0.08483290488431877,33,0.438386351560112,28.928571428571427,25,0.4
l1doqao,acc,923,395,11462,14,0.5016251354279523,0.0390032502708559,36,0.5645569620253165,0.06835443037974684,27,0.11017399929245963,10.071428571428571,25,0.4
l1doqao,gyr,924,395,11439,14,0.5010822510822511,0.045454545454545456,42,0.4911392405063291,0.04050632911392405,16,0.1996851365400371,14.357142857142858,25,0.4
855whqe,acc,156,65,12559,14,0.5064102564102564,0.02564102564102564,4,0.5076923076923077,0.015384615384615385,1,0.10475402812252181,9.5,25,0.4
855whqe,gyr,155,65,12538,14,0.4967741935483871,0.05161290322580645,8,0.35384615384615387,0.015384615384615385,1,0.19340165844076074,5.214285714285714,25,0.4
v90gnf6,acc,913,388,11479,14,0.4994523548740416,0.0755750273822563,69,0.6907216494845361,0.12628865979381443,49,0.39538901618963285,35.785714285714285,25,0.4
v90gnf6,gyr,913,389,11456,14,0.5005476451259584,0.047097480832420595,43,0.5038560411311054,0.04627249357326478,18,0.30524095734849827,17.571428571428573,25,0.4
ap1oez8,acc,264,100,12416,14,0.5,0.041666666666666664,11,0.38,0.0,0,0.031485577374111354,4.571428571428571,25,0.4
ap1oez8,gyr,263,100,12395,14,0.5019011406844106,0.053231939163498096,14,0.61,0.05,5,0.3471676743963711,22.214285714285715,25,0.4
r13q05q,acc,1025,306,11449,14,0.4995121951219512,0.08195121951219513,84,0.6209150326797386,0.08496732026143791,26,0.050057251601776064,2.2857142857142856,25,0.4
r13q05q,gyr,942,376,11440,14,0.5010615711252654,0.045647558386411886,43,0.5904255319148937,0.09840425531914894,37,0.2049792725533282,8.571428571428571,25,0.4
vk43uke,acc,934,388,11458,14,0.5,0.06638115631691649,62,0.0,0.0,0,0.12003426379142657,2.9285714285714284,25,0.4
vk43uke,gyr,934,388,11436,14,0.5010706638115632,0.03961456102783726,37,0.3711340206185567,0.028350515463917526,11,0.29564344273191917,16.285714285714285,25,0.4
vo441ru,acc,1130,200,11450,14,0.5008849557522124,0.06991150442477877,79,0.595,0.095,19,0.0037168529041733483,2.0,25,0.4
vo441ru,gyr,927,388,11443,14,0.5005393743257821,0.0668824163969795,62,0.4948453608247423,0.07989690721649484,31,0.00010582010582010581,2.0,25,0.4
68n9ll,acc,483,191,12106,14,0.4968944099378882,0.06832298136645963,33,0.2513089005235602,0.03664921465968586,7,0.20207344400257926,3.7857142857142856,25,0.4
68n9ll,gyr,483,192,12083,14,0.5010351966873706,0.043478260869565216,21,0.3177083333333333,0.015625,3,0.5184376256819212,55.642857142857146,25,0.4
7stgp0r,acc,550,231,11999,14,0.5,0.06,33,0.3116883116883117,0.03896103896103896,9,0.47307915068730105,63.42857142857143,25,0.4
7stgp0r,gyr,554,232,11972,14,0.5018050541516246,0.061371841155234655,34,0.3577586206896552,0.008620689655172414,2,0.3613781474884211,13.5,25,0.4
z8c5rtb,acc,812,342,11626,14,0.4975369458128079,0.054187192118226604,44,0.3216374269005848,0.011695906432748537,4,0.5184278405879368,69.64285714285714,25,0.4
z8c5rtb,gyr,811,341,11606,14,0.5018495684340321,0.04438964241676942,36,0.36363636363636365,0.017595307917888565,6,0.4231640464995311,27.857142857142858,25,0.4
z8taipm,acc,953,377,33904,14,0.49842602308499473,0.09338929695697797,89,0.40848806366047746,0.0610079575596817,23,0.11213632848909037,6.714285714285714,25,0.8
