OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,num_of_clf_that_decide
r2p4ljs,acc,131,54,7472,14,0.061068702290076333,0.0,0.0,0.18518518518518517,0.0,0.0,0.4835001865843801,93.71428571428571,100
r2p4ljs,gyr,130,54,5793,14,0.33076923076923076,0.0,0.0,0.6111111111111112,0.18518518518518517,10.0,0.2531368446849555,14.642857142857142,100
r2p4ljs,swp,0,0,0,0,,,,,,,,,100
r2p4ljs,tap,1401,599,20396,14,0.5210563882940756,0.046395431834404,65.0,0.5242070116861436,0.0333889816360601,20.0,0.3337738419141053,15.785714285714286,100
sqhkewt,acc,470,86,7101,14,0.0425531914893617,0.002127659574468085,1.0,0.7906976744186046,0.23255813953488372,20.0,0.2880760503963419,24.285714285714285,100
sqhkewt,gyr,116,49,5812,14,0.33620689655172414,0.02586206896551724,3.0,0.46938775510204084,0.02040816326530612,1.0,0.1356737605536796,3.857142857142857,100
sqhkewt,swp,0,0,0,0,,,,,,,,,100
sqhkewt,tap,380,162,21854,14,0.5131578947368421,0.021052631578947368,8.0,0.6111111111111112,0.06172839506172839,10.0,0.19896461249822653,11.0,100
2cf0s6s,acc,503,181,6973,14,0.04771371769383698,0.0,0.0,1.0,0.4972375690607735,90.0,0.0,2.0,100
2cf0s6s,gyr,164,59,5754,14,0.32926829268292684,0.012195121951219513,2.0,0.7288135593220338,0.11864406779661017,7.0,0.022009772224839696,2.0,100
2cf0s6s,swp,0,0,0,0,,,,,,,,,100
2cf0s6s,tap,1215,520,20661,14,0.5275720164609053,0.03621399176954732,44.0,0.5673076923076923,0.04038461538461539,21.0,0.45631414947678434,113.35714285714286,100
n0g0zsv,acc,500,485,6672,14,0.052,0.004,2.0,0.002061855670103093,0.0,0.0,0.03147463146952808,2.0,100
n0g0zsv,gyr,641,257,5079,14,0.31201248049922,0.0265210608424337,17.0,0.4474708171206226,0.038910505836575876,10.0,0.032513030083900656,5.214285714285714,100
n0g0zsv,swp,0,0,0,0,,,,,,,,,100
n0g0zsv,tap,1401,599,20396,14,0.5303354746609564,0.034261241970021415,48.0,0.5409015025041736,0.035058430717863104,21.0,0.2424288196884818,7.785714285714286,100
